assignment_title,instructions,essay_text,score,max_score,label
climate change,make sure your essay is well structured and the and have good reference in it,"Climate change is one of the most pressing challenges facing Malawi today. Over the past decade, the country has experienced increasingly erratic rainfall patterns, prolonged droughts, and devastating floods that have destroyed crops and displaced thousands of families. In 2015, Cyclone Idai caused widespread flooding in the Shire Valley, destroying over 60,000 hectares of farmland and leaving many communities without food. Smallholder farmers, who make up more than 80% of Malawi's agricultural workforce, are particularly vulnerable because they depend entirely on rain-fed agriculture. Rising temperatures have also accelerated soil erosion and reduced water levels in Lake Malawi, threatening fish stocks that millions of people rely on for protein. The government has responded by launching the Malawi National Adaptation Programme of Action, which promotes conservation agriculture and early warning systems. However, more investment in climate-resilient infrastructure, reforestation, and sustainable land management is urgently needed to protect future generations from the worst impacts of climate change.",85,100,good
climate change,make sure your essay is well structured and the and have good reference in it,"Climate change in Malawi is a critical issue. Malawi faces droughts and floods every year. Farmers suffer because of unpredictable rains. The government is trying to help by promoting conservation farming. Lake Malawi water levels are dropping. More trees should be planted to help the environment. Climate change affects all of us.",42,100,weak
climate change,make sure your essay is well structured and the and have good reference in it,"i dont know about climate change. it is hot sometimes and cold sometimes. malawi has rain in december. i dont know what else to say about it. my name is student and i wrote this essay.",10,100,poor
climate change,make sure your essay is well structured and the and have good reference in it,"Malawi is experiencing severe climate change impacts including prolonged dry spells, erratic rainfall and cyclones that devastate agriculture. Five key challenges include: first, food insecurity as smallholder farmers who form 80% of the workforce lose harvests due to drought; second, flooding particularly in the Shire Valley destroying infrastructure and displacing communities; third, reduced water resources as Lake Malawi levels drop affecting fisheries and hydropower; fourth, increased disease burden as malaria and cholera spread with changing weather patterns; fifth, deforestation accelerating as communities clear land for subsistence farming under food pressure. Malawi's National Adaptation Programme promotes conservation agriculture but underfunding limits impact. International climate finance under the Paris Agreement is critical for Malawi to build resilience.",92,100,excellent
climate change,make sure your essay is well structured and the and have good reference in it,"Climate change is affecting Malawi through droughts, floods and rising temperatures. Malawi depends on rain for farming so unpredictable weather causes food shortages. The country also loses forests due to deforestation which makes climate change worse. Government programmes exist but resources are limited. Communities need to be educated on climate adaptation strategies such as irrigation and drought resistant crops.",60,100,satisfactory
climate change,make sure your essay is well structured and the and have good reference in it,"Football is a popular sport played around the world. The FIFA World Cup is the biggest football tournament. Many African countries participate including Malawi. The sport requires teamwork and physical fitness. I enjoy watching football on television with my family.",5,100,off_topic
climate change,make sure your essay is well structured and the and have good reference in it,"Malawi is one of the most climate-vulnerable countries in sub-Saharan Africa. The five major challenges posed by climate change include erratic rainfall disrupting the agricultural calendar for smallholder farmers who produce 80% of national food supply; increasing frequency of floods and cyclones such as Freddy in 2023 which destroyed homes and crops in the Southern Region; prolonged dry spells reducing water levels in the Shire River threatening the Kapichira hydropower station which provides 60% of national electricity; rising temperatures increasing the spread of malaria and waterborne diseases; and deforestation as communities cut trees for charcoal under economic pressure, worsening carbon emissions. According to the Malawi National Climate Change Policy, adaptation strategies include conservation farming, reforestation, and community early warning systems. However, Malawi needs substantially more climate finance from developed nations under the UNFCCC to build long-term resilience.",95,100,excellent
climate change,make sure your essay is well structured and the and have good reference in it,"Climate change is bad for Malawi. There are floods and droughts. People suffer. The government should do something. Other countries should help Malawi. Climate change is a global problem that needs a global solution. We need to plant more trees.",25,100,poor
climate change,make sure your essay is well structured and the and have good reference in it,"Malawi faces five key climate change challenges. First, erratic rainfall causes crop failures for smallholder farmers. Second, flooding damages infrastructure and displaces people. Third, drought reduces water availability for drinking and irrigation. Fourth, rising temperatures increase disease. Fifth, deforestation worsens the carbon cycle. These challenges threaten food security and economic development in Malawi.",65,100,satisfactory
climate change,make sure your essay is well structured and the and have good reference in it,"Technology is advancing rapidly in the 21st century. Artificial intelligence, smartphones and the internet have changed how we communicate and work. Social media connects people across the world. In Malawi, mobile money has transformed banking for rural communities. Technology is the future of development.",5,100,off_topic
